id,height,weight,steps
1,24.16,62,2
1,23.4,60,2
1,21.99,60,2
1,25.33,60,2
1,21.79,60,2
1,22.61,60,2
1,24.16,60,2
1,23.02,60,2
1,26.91,61,2
1,22.06,61,2
1,24.81,60,2
1,22.61,60,2
1,24.74,60,2
1,23.47,58,1
1,24.33,58,1
1,22.82,57,1
1,26.36,60,1
1,28.8,57,1
1,28.69,58,1
1,25.02,58,1
1,27.01,58,1
1,24.4,57,1
1,22.06,58,1
1,24.26,56,1
1,22.71,60,2
1,23.02,60,2
1,22.71,60,2
1,23.26,60,2
1,22.37,60,2
1,26.32,60,2
1,25.77,60,2
1,23.61,59,2
3,27.04,71,2
3,26.12,73,2
3,28.83,73,2
3,30.21,73,2
3,26.74,73,2
3,28.9,72,2
3,27.35,73,2
3,30.82,73,2
3,27.22,73,2
3,28.59,72,2
3,28.38,73,2
3,28.49,72,2
3,35.29,74,2
3,67.63,70,1
3,26.22,70,1
3,27.22,70,1
3,29.83,70,1
3,63.23,71,1
3,37.94,70,1
3,27.87,71,1
3,31.51,70,1
3,28.21,69,1
3,29.66,70,1
3,26.94,70,1
3,29.11,72,1
3,27.35,70,1
3,27.63,70,1
3,61.2,72,2
